"minStartUTC","minEndUTC","startBlock","endBlock","totalTxns","buyCount","sellCount","activeAddressCount","lastTokenPrice","latestTokenPrice","avgTokenPrice","tokenVolume","tokenVolumeUSD","ethPrice","btcPrice"
"2025-05-31 17:38:00","2025-05-31 17:39:00",22604245,22604247,54,23,31,54,2537.01,2537.01,2537.0099999999984,"12.55","70852.84","2537.01","104349.06"
"2025-05-31 17:39:00","2025-05-31 17:40:00",22604248,22604252,113,42,71,113,2537.01,2537.9,2537.5219469026533,"28.28","71764.87","2537.90","104349.06"
"2025-05-31 17:40:00","2025-05-31 17:41:00",22604253,22604257,152,48,104,152,2537.9,2536.99,2537.4150657894675,"44.24","112253.03","2536.99","104349.06"
"2025-05-31 17:41:00","2025-05-31 17:42:00",22604258,22604262,139,53,86,139,2536.99,2535.42,2536.0412230215834,"30.21","76762.43","2535.42","104349.06"
"2025-05-31 17:42:00","2025-05-31 17:43:00",22604263,22604267,114,55,59,114,2535.42,2537.11,2536.502192982448,"23.16","58752.32","2537.11","104349.06"
"2025-05-31 17:43:00","2025-05-31 17:44:00",22604268,22604272,150,40,110,150,2537.11,2535.63,2535.9161333333373,"39.53","139855.15","2535.63","104349.06"
"2025-05-31 17:44:00","2025-05-31 17:45:00",22604273,22604277,129,49,80,129,2535.63,2535.63,2535.6300000000033,"19.36","49095.43","2535.63","104349.06"
"2025-05-31 17:45:00","2025-05-31 17:46:00",22604278,22604282,102,46,56,102,2535.63,2535,2535.296470588236,"21.81","55302.42","2535.00","104349.06"
"2025-05-31 17:46:00","2025-05-31 17:47:00",22604283,22604287,130,42,88,130,2535,2534.38,2534.6232307692335,"29.72","86508.59","2534.38","104349.06"
"2025-05-31 17:47:00","2025-05-31 17:48:00",22604288,22604292,114,46,68,114,2534.38,2533.7,2534.0280701754455,"39.86","101015.16","2533.70","104349.06"
"2025-05-31 17:48:00","2025-05-31 17:49:00",22604293,22604297,102,36,66,102,2533.7,2533.33,2533.48960784313,"19.99","50653.05","2533.33","104349.06"
"2025-05-31 17:49:00","2025-05-31 17:50:00",22604298,22604302,143,55,88,143,2533.33,2533.4,2533.3740559440607,"35.38","89627.61","2533.40","104349.06"
"2025-05-31 17:50:00","2025-05-31 17:51:00",22604303,22604307,105,43,62,105,2533.4,2530.31,2531.163428571427,"25.94","65664.30","2530.31","104349.06"
"2025-05-31 17:51:00","2025-05-31 17:52:00",22604308,22604312,137,51,86,137,2530.31,2528.69,2529.494087591241,"68.95","176341.39","2528.69","104349.06"
"2025-05-31 17:52:00","2025-05-31 17:53:00",22604313,22604317,174,57,117,174,2528.69,2528.5,2528.563333333334,"40.09","101376.34","2528.50","104349.06"
"2025-05-31 17:53:00","2025-05-31 17:54:00",22604318,22604321,122,44,78,122,2528.5,2528.24,2528.2911475409796,"22.81","57660.55","2528.24","104349.06"
"2025-05-31 17:54:00","2025-05-31 17:55:00",22604322,22604326,132,48,84,132,2528.24,2526.2,2526.75636363637,"49.21","124330.11","2526.20","104349.06"
"2025-05-31 17:55:00","2025-05-31 17:56:00",22604327,22604331,131,51,80,131,2526.2,2526.1,2526.138167938928,"24.58","62101.90","2526.10","104349.06"
"2025-05-31 17:56:00","2025-05-31 17:57:00",22604332,22604336,102,34,68,102,2526.1,2526.99,2526.562450980389,"28.56","72147.75","2526.99","104349.06"
"2025-05-31 17:57:00","2025-05-31 17:58:00",22604337,22604341,114,44,70,114,2526.99,2526.6,2526.818947368421,"25.89","65416.87","2526.60","104349.06"
"2025-05-31 17:58:00","2025-05-31 17:59:00",22604342,22604345,108,48,60,108,2526.6,2527.39,2526.995000000008,"33.46","84551.98","2527.39","104349.06"
"2025-05-31 17:59:00","2025-05-31 18:00:00",22604346,22604350,136,46,90,136,2527.39,2526.17,2526.59161764706,"30.50","77062.15","2526.17","104349.06"
"2025-05-31 18:00:00","2025-05-31 18:01:00",22604351,22604355,122,44,78,122,2526.17,2527.38,2526.963442622953,"25.87","65378.14","2527.38","104487.81"
"2025-05-31 18:01:00","2025-05-31 18:02:00",22604356,22604360,89,44,45,89,2527.38,2528,2527.6795505617984,"25.80","65211.77","2528.00","104487.81"
"2025-05-31 18:02:00","2025-05-31 18:03:00",22604361,22604365,140,48,92,140,2528,2529.3,2528.93785714285,"35.26","89151.26","2529.30","104487.81"
"2025-05-31 18:03:00","2025-05-31 18:04:00",22604366,22604370,126,45,81,126,2529.3,2530.93,2530.4254761904717,"32.27","81642.20","2530.93","104487.81"
"2025-05-31 18:04:00","2025-05-31 18:05:00",22604371,22604372,53,16,37,53,2530.93,2530.93,2530.929999999996,"11.96","30259.87","2530.93","104487.81"